date,nav,source_date,source_title,source_url,source_id,context
2025-01-08,1.067,2025-12-27,2025年终总结：叫兽指数,https://zhuanlan.zhihu.com/p/1988327505925513278,1988327505925513278,iew下这个当初做着玩的叫兽指数。  当初做这个东西，想的是以后有合订本可以检验自己的水平，免得某些【】BB。结果做着做着就  成这样了。  一.数据总结： 二.具体数据  闲话不说，拉净值曲线。  年初（2025/01/08），叫兽指数的净值为1.067：（见https://mp.weixin.qq.com/s/W3bAdyYhOiT85lygP3wiSw）  年末，净值1.291。净值增长 1.291/1.067 - 1 = 21%左右。收益略高于纳指，高过标普4.4%左右。  最大回撤发生在懂王贸易战时期（20250321-20250408），最大回撤1 - 1.
2025-05-14,1.111,2025-05-14,叫兽指数第11个月，净值1.111，继续新高,https://zhuanlan.zhihu.com/p/1905938948364145454,1905938948364145454,叫兽指数第11个月，净值1.111，继续新高 叫兽指数第11个月，净值1.111，继续新高 Deep Van Deep Van的逃生地牢（星球） 已关注 收录于 · 叫兽指数 257 人赞同了该文章  这是调整前的叫兽指数（20240611-20250514）：  净值走势（20240611-20250514）：  历史最大回撤：6%；  纳斯达克10
2025-05-27,1.1275,2025-05-27,叫兽指数20250527，继续新高，仓位小幅变动。,https://zhuanlan.zhihu.com/p/1910981768451962545,1910981768451962545,的政策信号。 消息传出后，日本超长期国债收益率延续跌势，20年期国债收益率大幅下跌17.5个基点至2.37%，远低于上周五的2.6%。30年期和40年期国债收益率同样从上周创下的历史高位大幅回落。     然后叫兽指数就这样水灵灵地新高了：净值上升到1.1275。                       然后指数微调下，SHV的仓位从20%->17.5%。加仓摩根日本精选至7.5%。  由于这个etf限购，可以用513880和513800平替。     
2025-06-04,1.1385,2025-06-04,叫兽指数一周年：新高与初心,https://zhuanlan.zhihu.com/p/1913642337441129084,1913642337441129084,一周年：新高与初心 叫兽指数一周年：新高与初心 Deep Van Deep Van的逃生地牢（星球） 已关注 339 人赞同了该文章  从2024年6月11日到现在，叫兽指数快满周岁啦，表现也尚可，由于创新药和日本ETF的强势和美股的反弹，净值到了1.1385，继续新高。     然后翻出了当年搞着玩意的目的：        回头一看，收益率和夏普率都跑赢师老党立啦~现在这个结果也能对得起当初的自己和读者老爷们~                       本次叫兽指数不调仓，直到确定下一个趋势出现为止。  发布于 2025-06-04 17:05・广东 ETF 理财 20
2025-06-09,1.147,2025-06-15,叫兽指数20250615，新高/是否止盈恒生创新药/配置TLT和黄金的意义,https://zhuanlan.zhihu.com/p/1917985088345453653,1917985088345453653,，新高/是否止盈恒生创新药/配置TLT和黄金的意义 Deep Van Deep Van的逃生地牢（星球） 已关注 272 人赞同了该文章  虽然发生了以色列突袭伊朗的突发事件，不过因为配置了黄金对冲了其他资产跌幅，叫兽指数依旧创了新高。  目前净值1.151（上期1.147，20250609）。     然后统一回答下朋友们问的比较多的问题：  1.为什么A股创新药比港股拉跨那么多？  因为2018年开始香港允许还没盈利的创新药公司上市，所以很多当时名不见经传的创新药公司跑去hk上市了，现在逐渐走出了低谷，获得了不错的成果。     2.是否要止港股盈创新药（恒生医药ETF的主成分）？没买的还能加吗？  如
2025-06-15,1.151,2025-06-15,叫兽指数20250615，新高/是否止盈恒生创新药/配置TLT和黄金的意义,https://zhuanlan.zhihu.com/p/1917985088345453653,1917985088345453653,高/是否止盈恒生创新药/配置TLT和黄金的意义 Deep Van Deep Van的逃生地牢（星球） 已关注 272 人赞同了该文章  虽然发生了以色列突袭伊朗的突发事件，不过因为配置了黄金对冲了其他资产跌幅，叫兽指数依旧创了新高。  目前净值1.151（上期1.147，20250609）。     然后统一回答下朋友们问的比较多的问题：  1.为什么A股创新药比港股拉跨那么多？  因为2018年开始香港允许还没盈利的创新药公司上市，所以很多当时名不见经传的创新药公司跑去hk上市了，现在逐渐走出了低谷，获得了不错的成果。     2.是否要止港股盈创新药（恒生医药ET
2025-07-02,1.168,2025-07-02,叫兽指数20250702，新高和展望,https://zhuanlan.zhihu.com/p/1923704356491993905,1923704356491993905,叫兽指数20250702，新高和展望 叫兽指数20250702，新高和展望 Deep Van​ Deep Van的逃生地牢（星球） 已关注 260 人赞同了该文章  大家中午好。今日的叫兽指数继续新高，净值到了1.168。     一.复盘后可知，主要的增长来自美股ETF和日经ETF。不仅抵消了恒生医药的回撤还带动JS指数新高了。     二.TLT原本是买来对冲衰退风险的，做好了亏钱准备，没想到还赚了一点；     三.关于米国的大漂亮法案：这个在星球和知乎上也讲了很多次，宏观上的影响先不谈，只谈交易信号：     3.1 减税在中
2025-07-18,1.1856,2025-07-18,叫兽指数20250718，新高与狂飙的创新药。,https://zhuanlan.zhihu.com/p/1929500348499866234,1929500348499866234,8，新高与狂飙的创新药。 Deep Van Deep Van的逃生地牢（星球） 已关注 收录于 · 叫兽指数 创作声明：包含投资理财内容 335 人赞同了该文章  由于美股和创新药的强势（尤其是港股创新药），叫兽指数再20250718新高，净值1.1856（上一期1.175）。     本期暂时不动，之后可能会清掉TLT，这是我当初为了应对可能出现的米国衰退局面配置的（这种情况下通胀和增长都会下降）。     然后是港股创新药，再简单谈下：  1.为什么是香港创新药，不是A股创新药？  因为七年前港交所允许那些还没赚钱的创新药公司上市，然后创新药公司都去香港上市了。现在
2025-08-07,1.2016,2025-08-07,叫兽指数20250807，减仓印度和红利，加仓小盘量化,https://zhuanlan.zhihu.com/p/1936717876892505563,1936717876892505563,小盘量化 叫兽指数20250807，减仓印度和红利，加仓小盘量化 Deep Van​ Deep Van的逃生地牢（星球） 已关注 收录于 · 叫兽指数 创作声明：包含投资理财内容 266 人赞同了该文章  如题，相比上周，叫兽指数轻微回撤，净值从1.2036->1.2016。     仓位微调，继续减仓印度，从5%->2.5%。  理由：和米国的关税冲突激化，且印度的民族主义非常严重，莫迪在和巴基斯坦的冲突之后，不得不对外强硬来维持支持率。抄底要等八月和美国的第二轮谈判了。     减仓恒生高股息，7.5%->5%，长电的迷惑操作导致红利逻辑动摇；     加仓国金量化多因子（或者招商量
2025-08-19,1.216,2025-08-19,叫兽指数20250819，继续新高,https://zhuanlan.zhihu.com/p/1941184069833594263,1941184069833594263,叫兽指数20250819，继续新高 叫兽指数20250819，继续新高 Deep Van Deep Van的逃生地牢（星球） 已关注 185 人赞同了该文章  如题，相较于上一个时间点20250819，叫兽指数的净值从1.216上升到了1.2232。  本次无调仓；  新的上涨贡献主要来自创新药，而国金量化多因子跑输1000指数较多，远不如招商量化精选。不过考虑到后者限购更厉害，短期也没法替换了。        发布于 2025-08-19 17:06・广东  赞同 185  41 条评论  44  11  分享  申请转载   
